Device,Category,Price (INR),Age (months),Physical Condition,Performance,Surface Wear,Internal Damage,Accessories Condition,Repair Cost (INR),Resale Price (INR)
Microsoft Xbox,Gaming Console,166343,52,4,3,1,4,4,37700,112002
Apple Watch,Wearable,3267,31,4,1,4,2,1,23800,14007
Samsung TV,TV,75569,46,1,2,1,0,5,12500,61415
iPhone 13,Phone,120726,4,3,5,5,0,3,27900,112945
Samsung TV,TV,190909,23,0,1,4,3,4,27200,155827
GoPro Camera,Camera,180257,32,0,4,2,2,3,27400,150695
Sony PlayStation,Gaming Console,42303,5,5,3,1,0,0,15500,43919
Philips Air Purifier,Appliance,81232,51,2,3,5,3,0,33500,61021
Lenovo Monitor,Monitor,186187,27,0,5,5,2,0,32500,151236
GoPro Camera,Camera,99351,33,3,0,3,1,1,13300,75699
Apple Watch,Wearable,152205,59,2,5,0,4,3,39400,108740
Microsoft Xbox,Gaming Console,189875,22,2,3,1,1,2,19100,163349
Samsung Refrigerator,Appliance,53593,7,4,0,4,3,0,25000,52427
iPhone 13,Phone,34740,21,1,1,1,2,2,17100,36863
Philips Air Purifier,Appliance,21872,48,0,4,4,1,2,24600,26736
Bose Speaker,Audio,80460,29,0,0,0,3,4,18200,73066
Microsoft Xbox,Gaming Console,161443,60,3,4,5,1,0,27500,97700
Panasonic VCR,Appliance,97419,32,3,2,4,1,2,21600,77045
Sharp LED,TV,187938,25,2,5,1,2,1,29300,160302
Microsoft Xbox,Gaming Console,82067,18,0,5,3,5,4,47700,85400
Panasonic VCR,Appliance,30891,47,5,2,1,3,5,31500,33821
Asus ZenBook,Laptop,35743,42,4,4,5,0,0,23500,33553
Canon DSLR,Camera,10859,14,5,0,4,4,3,33400,23976
Samsung Refrigerator,Appliance,56341,59,3,4,5,5,5,51500,50822
Microsoft Xbox,Gaming Console,127068,12,2,1,5,5,0,37500,107698
Sony PlayStation,Gaming Console,138856,33,5,3,4,3,0,35000,100119
Asus ZenBook,Laptop,59958,60,0,2,1,2,1,18300,47523
Apple Watch,Wearable,34171,20,1,1,0,0,2,5600,32870
HP Printer,Printer,179448,10,0,4,1,3,4,31700,171970
Apple Watch,Wearable,44106,43,4,5,3,5,4,51700,49888
Xiaomi Tablet,Tablet,17753,36,4,3,3,5,5,46500,33547
Sony Headphones,Audio,15188,26,3,5,2,2,4,34200,28187
Asus ZenBook,Laptop,61574,39,5,5,0,3,2,36600,58015
Sony PlayStation,Gaming Console,146306,51,2,2,3,4,3,34900,100113
Samsung Refrigerator,Appliance,80407,56,1,3,0,3,2,26600,64760
Sony Headphones,Audio,106629,4,0,5,1,1,5,25500,112981
iPhone 13,Phone,140285,48,5,4,3,1,0,26500,94615
Asus ZenBook,Laptop,199890,57,2,3,1,1,5,21500,137680
Apple Watch,Wearable,168102,12,2,0,1,5,1,29300,145770
Sony Headphones,Audio,27010,29,0,0,3,3,3,21900,30802
Philips Air Purifier,Appliance,154349,35,0,3,4,4,3,37400,121342
Lenovo Monitor,Monitor,32224,6,5,4,3,5,5,50500,48129
Philips Air Purifier,Appliance,48967,25,4,5,0,3,3,36400,54191
Samsung TV,TV,109933,58,0,3,0,5,0,34000,84059
MacBook Pro,Laptop,29445,50,4,3,3,2,4,30700,32134
Asus ZenBook,Laptop,34197,57,2,0,2,3,4,23200,31263
Samsung Refrigerator,Appliance,136856,58,3,4,4,1,1,26800,88671
Sony Headphones,Audio,138384,24,1,0,0,0,5,5000,121510
Sharp LED,TV,63655,6,2,1,4,3,3,28400,64487
Canon DSLR,Camera,32642,53,0,2,4,4,5,36000,36769
Lenovo Monitor,Monitor,33240,30,0,0,4,3,4,24200,35700
Sony PlayStation,Gaming Console,182208,60,0,3,4,5,0,40000,114748
Dell Laptop,Laptop,7173,13,1,4,0,0,0,13000,13063
Asus ZenBook,Laptop,43876,1,2,1,1,1,4,14700,47497
iPhone 13,Phone,154182,14,3,1,0,1,5,15000,138555
Samsung TV,TV,51707,17,5,5,1,2,2,33100,55589
Samsung TV,TV,76345,26,1,1,0,3,4,22200,71413
Asus ZenBook,Laptop,196918,38,1,5,3,1,3,27900,153762
Microsoft Xbox,Gaming Console,128804,9,1,5,0,3,0,31000,128204
Xiaomi Tablet,Tablet,105335,31,0,2,1,3,5,26500,93831
Philips Air Purifier,Appliance,161490,19,4,2,2,5,4,41200,131221
Sony PlayStation,Gaming Console,127664,50,5,3,3,2,1,29300,84865
Asus ZenBook,Laptop,107285,2,4,4,0,5,4,44200,109001
Canon DSLR,Camera,152332,29,0,0,3,5,1,30300,121021
Sony PlayStation,Gaming Console,26610,9,4,5,1,3,2,37100,39705
Sony PlayStation,Gaming Console,109407,16,4,4,2,5,4,47200,100185
HP Printer,Printer,120393,2,0,2,3,5,0,35500,117676
Panasonic VCR,Appliance,129783,7,3,5,2,2,0,31000,122571
Panasonic VCR,Appliance,97111,7,5,2,3,0,4,18700,87524
Dell Laptop,Laptop,41213,8,3,3,0,2,2,23600,47243
Dell Laptop,Laptop,125535,24,1,2,3,1,2,18100,106967
Philips Air Purifier,Appliance,40220,40,2,3,3,3,3,32900,42191
Lenovo Monitor,Monitor,68198,43,0,0,5,4,4,30700,56610
Bose Speaker,Audio,41569,35,4,1,0,5,3,34400,44012
Sony PlayStation,Gaming Console,145608,12,1,3,4,0,4,19200,131911
GoPro Camera,Camera,53854,53,3,5,0,5,0,43000,52466
Bose Speaker,Audio,87431,1,3,1,3,0,4,13700,83352
Panasonic VCR,Appliance,115550,39,1,1,3,1,5,17500,90213
Philips Air Purifier,Appliance,140117,52,4,1,5,5,3,41900,85404
Samsung TV,TV,152115,36,5,2,5,1,1,24300,103419
GoPro Camera,Camera,163899,48,2,4,3,4,4,41700,115911
Asus ZenBook,Laptop,86917,32,0,1,0,3,0,18000,76795
Bose Speaker,Audio,105885,7,5,1,5,2,4,28700,91117
Philips Air Purifier,Appliance,119698,56,5,5,1,1,5,30500,84675
Xiaomi Tablet,Tablet,102602,47,0,3,3,1,0,18500,79532
Sharp LED,TV,68155,32,0,2,4,2,5,26000,62072
LG Microwave,Appliance,30809,3,4,0,1,4,4,28700,39151
Samsung TV,TV,71773,16,3,2,2,2,2,23600,67783
MacBook Pro,Laptop,161787,1,1,0,2,3,4,22200,152664
MacBook Pro,Laptop,163499,49,2,3,3,2,3,27900,114502
Microsoft Xbox,Gaming Console,89913,52,5,3,1,0,3,17900,64696
Philips Air Purifier,Appliance,145521,16,0,2,2,4,4,32200,132517
MacBook Pro,Laptop,56173,19,5,5,2,4,0,43000,59979
Sharp LED,TV,175353,18,4,3,5,0,2,22100,139058
LG Microwave,Appliance,120385,42,5,0,3,3,3,26900,82069
LG Microwave,Appliance,37932,55,2,1,2,1,3,15400,31408
Panasonic VCR,Appliance,33611,52,3,5,0,1,5,27000,35683
Samsung TV,TV,72268,42,3,4,3,4,5,43500,64388
Xiaomi Tablet,Tablet,176175,39,1,3,2,1,2,19600,137527
MacBook Pro,Laptop,171958,43,2,2,1,5,2,36100,125524
Sony Headphones,Audio,183952,54,5,3,5,2,2,33100,106686
Lenovo Monitor,Monitor,77767,21,5,5,3,0,4,27700,71009
MacBook Pro,Laptop,99135,5,5,0,1,0,3,8900,89210
Sony PlayStation,Gaming Console,152801,3,2,0,0,5,5,31000,144617
Canon DSLR,Camera,157467,50,5,3,1,4,3,37900,105557
Samsung TV,TV,95640,59,5,5,5,4,2,49100,65197
Samsung TV,TV,73005,54,4,5,2,4,5,46000,61693
Apple Watch,Wearable,159688,3,3,4,1,3,3,33900,151886
Sharp LED,TV,84278,18,3,3,4,3,3,35400,77537
iPhone 13,Phone,182763,37,0,4,3,3,5,35500,144770
Samsung Refrigerator,Appliance,64490,23,3,1,2,1,0,14000,56335
iPhone 13,Phone,25202,24,5,0,4,2,3,23400,28333
Dell Laptop,Laptop,110053,18,5,1,5,4,4,38700,88683
Samsung TV,TV,197732,28,4,2,4,5,0,41000,139139
LG Microwave,Appliance,77638,11,5,1,3,3,3,29900,71238
Asus ZenBook,Laptop,106969,58,5,3,5,2,1,32300,66425
HP Printer,Printer,131214,17,3,0,5,0,3,12900,105517
MacBook Pro,Laptop,78957,35,4,4,0,0,2,17600,67623
Sharp LED,TV,123367,59,3,1,4,3,5,31000,77800
Xiaomi Tablet,Tablet,4861,60,5,1,4,4,2,35600,19939
Sharp LED,TV,147364,51,0,4,0,0,3,14400,116986
Canon DSLR,Camera,78043,51,3,5,5,0,1,26300,58805
Sony Headphones,Audio,119718,46,0,2,3,5,2,37100,91578
Asus ZenBook,Laptop,124219,7,0,5,3,2,3,31900,123399
Sony Headphones,Audio,176216,58,3,3,5,5,4,47700,103147
Canon DSLR,Camera,105304,21,0,0,0,2,1,10800,95435
Samsung Refrigerator,Appliance,80370,38,5,2,2,4,4,37200,66018
Sharp LED,TV,182890,60,0,2,5,0,4,16700,118084
GoPro Camera,Camera,193779,49,2,5,4,3,4,41200,132023
Asus ZenBook,Laptop,52202,21,2,1,0,5,0,30000,54413
LG Microwave,Appliance,55620,21,4,1,5,4,0,34500,52569
Panasonic VCR,Appliance,93522,5,5,5,5,0,0,27500,86230
Dell Laptop,Laptop,185984,1,2,3,5,0,0,18500,168266
Canon DSLR,Camera,166574,10,5,2,2,5,0,39000,137768
iPhone 13,Phone,75473,52,0,0,0,2,5,14000,59831
LG Microwave,Appliance,167511,37,0,1,3,4,1,28300,127220
HP Printer,Printer,173384,48,5,1,2,3,0,26000,110095
HP Printer,Printer,28694,37,4,4,1,0,2,19100,30066
Samsung Refrigerator,Appliance,43491,49,0,1,1,5,5,33500,44367
Asus ZenBook,Laptop,22192,47,3,3,2,1,1,20800,24714
iPhone 13,Phone,105482,20,2,2,1,1,2,16100,94545
Lenovo Monitor,Monitor,176543,23,5,1,0,5,1,33800,137832
Xiaomi Tablet,Tablet,189556,38,1,0,4,5,2,33600,132429
Panasonic VCR,Appliance,84069,32,4,3,2,0,1,16800,68930
Samsung TV,TV,59457,29,5,4,1,1,4,26700,55862
HP Printer,Printer,13985,33,3,3,3,2,4,29700,24290
Canon DSLR,Camera,47921,22,2,5,0,3,3,34400,55058
Asus ZenBook,Laptop,71027,60,3,5,3,3,4,40700,57284
Sharp LED,TV,154766,15,0,2,0,4,1,26800,144177
Microsoft Xbox,Gaming Console,120555,4,5,2,1,4,3,34900,111483
HP Printer,Printer,167638,42,5,0,5,3,3,29900,103798
Asus ZenBook,Laptop,154466,54,5,0,3,2,0,19500,91617
Dell Laptop,Laptop,85788,48,3,5,0,5,0,43000,72973
Sony Headphones,Audio,47971,24,0,3,2,4,0,32000,52458
HP Printer,Printer,48087,25,0,3,0,2,5,23000,51653
Lenovo Monitor,Monitor,19954,54,3,1,2,5,0,34000,27576
Sony Headphones,Audio,36762,22,3,4,5,1,3,29900,41051
Dell Laptop,Laptop,178892,12,4,2,3,1,1,20300,149686
Asus ZenBook,Laptop,165097,23,4,5,1,3,3,37900,138645
Sony Headphones,Audio,77606,50,0,1,3,0,0,7500,57298
Sony PlayStation,Gaming Console,78128,59,4,4,4,1,5,31000,56517
MacBook Pro,Laptop,36109,15,3,0,0,5,1,28800,42023
MacBook Pro,Laptop,75134,26,3,3,5,2,2,31100,65890
Xiaomi Tablet,Tablet,171149,12,4,3,4,5,1,44800,138781
Philips Air Purifier,Appliance,153318,51,4,4,4,4,1,42800,98826
Dell Laptop,Laptop,90432,28,2,0,1,4,4,26700,78461
LG Microwave,Appliance,107825,50,5,0,1,1,4,14700,73123
Lenovo Monitor,Monitor,75418,21,2,3,0,3,2,27600,73757
Dell Laptop,Laptop,55156,24,4,0,3,0,1,9300,45465
Apple Watch,Wearable,13270,10,4,0,5,5,4,39700,28741
Samsung Refrigerator,Appliance,199778,51,2,5,0,3,0,32000,144857
Canon DSLR,Camera,117593,55,0,5,4,0,5,25000,88347
Samsung Refrigerator,Appliance,138512,60,2,0,5,5,0,34500,80966
Sony Headphones,Audio,23007,46,4,1,4,3,5,32000,28654
Bose Speaker,Audio,145163,15,1,2,1,1,1,14300,132716
Xiaomi Tablet,Tablet,117845,4,0,2,1,5,0,32500,117597
Sharp LED,TV,41563,26,3,2,1,0,2,12100,38885
Samsung Refrigerator,Appliance,195016,60,4,2,3,1,5,23500,117059
Bose Speaker,Audio,4697,52,4,4,3,5,4,48700,26698
Lenovo Monitor,Monitor,180449,41,4,5,0,1,1,24800,137812
Dell Laptop,Laptop,135212,56,3,1,5,0,5,17500,84469
Xiaomi Tablet,Tablet,183554,57,0,3,4,1,2,21600,123686
Sony PlayStation,Gaming Console,123045,13,1,1,0,5,3,31400,115982
iPhone 13,Phone,83167,28,0,5,0,4,0,35000,82370
Lenovo Monitor,Monitor,44244,47,4,0,4,4,2,31600,39028
Xiaomi Tablet,Tablet,50671,18,0,2,1,4,2,29100,55594
GoPro Camera,Camera,11141,28,3,3,3,1,2,23100,19572
Bose Speaker,Audio,66786,48,0,4,5,5,3,46900,60850
iPhone 13,Phone,15085,40,3,5,5,2,3,37900,28001
Philips Air Purifier,Appliance,6272,53,4,5,4,5,4,53200,29579
HP Printer,Printer,52682,39,3,2,1,5,1,36300,51076
MacBook Pro,Laptop,20481,21,0,3,3,0,4,16700,25452
MacBook Pro,Laptop,113058,48,5,5,2,3,2,39600,83112
iPhone 13,Phone,156940,35,3,3,3,4,1,37300,116738
Panasonic VCR,Appliance,33830,28,0,2,5,4,4,36700,41354
Sony PlayStation,Gaming Console,101911,30,0,2,2,1,0,14000,87510
MacBook Pro,Laptop,158419,27,5,5,0,3,1,35800,129585
HP Printer,Printer,58655,18,0,1,0,1,0,8000,56203
Asus ZenBook,Laptop,137719,34,1,4,3,4,5,41500,113022
Sony PlayStation,Gaming Console,59442,35,4,3,4,2,2,30600,52451
Asus ZenBook,Laptop,72609,43,4,2,2,5,1,38800,60424
iPhone 13,Phone,178629,16,5,0,1,2,2,18100,144808
Sharp LED,TV,133452,23,0,5,5,5,1,48300,115565
Xiaomi Tablet,Tablet,86568,29,1,3,0,0,1,10800,77684
Sony Headphones,Audio,138659,28,1,5,1,0,3,19900,123650
Canon DSLR,Camera,118973,38,3,2,1,4,5,34500,94582
Samsung TV,TV,158023,25,4,1,5,1,0,19500,116416
Samsung Refrigerator,Appliance,162601,27,4,5,5,2,5,40500,125128
LG Microwave,Appliance,98191,8,3,2,2,3,1,27800,92453
Samsung Refrigerator,Appliance,125934,20,3,4,5,3,0,37500,104385
GoPro Camera,Camera,143413,57,4,4,5,5,5,52500,88635
HP Printer,Printer,74637,60,5,1,5,2,1,26300,47483
Sony PlayStation,Gaming Console,52820,50,0,0,4,5,5,35000,47607
LG Microwave,Appliance,173032,21,1,3,1,3,0,26500,150810
Bose Speaker,Audio,61281,8,0,2,2,4,2,30600,66776
Philips Air Purifier,Appliance,133934,12,2,0,3,4,2,28100,115840
HP Printer,Printer,151259,8,4,3,3,4,5,41500,132682
Sony Headphones,Audio,187591,27,1,1,4,0,0,10000,148507
Samsung Refrigerator,Appliance,105594,29,1,0,4,1,3,14400,84812
Dell Laptop,Laptop,124244,15,1,1,0,4,3,26400,115701
Sony Headphones,Audio,95330,26,2,1,0,5,3,32400,85791
Bose Speaker,Audio,176102,41,1,0,1,3,5,21500,133141
Asus ZenBook,Laptop,196189,14,1,4,5,5,3,47900,163244
Sony PlayStation,Gaming Console,30865,36,5,4,1,4,3,40900,39586
Dell Laptop,Laptop,107703,47,2,1,5,1,1,18300,74310
Sony PlayStation,Gaming Console,103978,42,5,4,0,1,1,22800,81065
Canon DSLR,Camera,170388,22,5,5,2,3,0,38000,136568
Samsung TV,TV,181012,5,5,4,1,4,4,41700,161134
Microsoft Xbox,Gaming Console,72806,42,0,5,4,5,3,48400,68612
Sony PlayStation,Gaming Console,6491,18,2,2,5,2,1,26300,17888
MacBook Pro,Laptop,179290,58,1,2,0,4,3,29400,124067
Bose Speaker,Audio,174713,27,1,1,3,2,0,18500,139411
iPhone 13,Phone,109554,11,4,4,2,0,4,22200,101482
Canon DSLR,Camera,190829,60,4,2,3,0,4,17700,115714
Asus ZenBook,Laptop,166077,24,5,1,3,3,1,28300,123761
iPhone 13,Phone,81725,35,3,4,3,1,2,26100,69032
Apple Watch,Wearable,132991,29,2,5,0,1,2,23600,117528
Bose Speaker,Audio,71975,39,3,2,3,0,3,15900,57253
iPhone 13,Phone,11558,14,1,4,4,3,5,38000,27900
Lenovo Monitor,Monitor,90692,20,0,3,1,1,2,17100,86545
Dell Laptop,Laptop,175858,36,3,2,5,1,3,23900,124499
Samsung Refrigerator,Appliance,138274,4,0,0,3,0,4,7700,131062
HP Printer,Printer,28075,45,5,1,5,5,5,44500,35586
Sony Headphones,Audio,124284,56,5,4,4,2,1,33800,79042
MacBook Pro,Laptop,97563,4,0,3,2,2,5,26000,100807
Sharp LED,TV,122883,21,5,3,5,4,4,44700,97923
Samsung TV,TV,3553,33,0,1,5,0,4,13700,9461
Apple Watch,Wearable,66637,38,4,1,4,2,1,23800,52549
Lenovo Monitor,Monitor,183930,52,2,3,4,3,1,32800,119401
Xiaomi Tablet,Tablet,175574,40,0,2,4,0,0,12000,132413
iPhone 13,Phone,195786,51,3,0,5,0,1,11300,120185
MacBook Pro,Laptop,184518,16,4,0,5,0,3,13900,143493
Canon DSLR,Camera,172026,1,2,0,0,3,1,17800,162863
Panasonic VCR,Appliance,75391,38,4,5,0,5,2,45600,70296
Samsung Refrigerator,Appliance,100266,14,2,5,0,3,0,32000,99221
Microsoft Xbox,Gaming Console,54001,39,4,1,2,0,2,11600,42791
Bose Speaker,Audio,97858,51,1,1,2,4,2,28600,73504
Sony PlayStation,Gaming Console,27135,1,3,0,5,4,1,31300,36137
Apple Watch,Wearable,118687,8,2,4,2,3,5,36000,115323
Microsoft Xbox,Gaming Console,62788,55,0,0,5,4,3,29900,49169
Samsung TV,TV,138150,27,4,1,4,2,3,25400,104570
Sony Headphones,Audio,155572,19,0,5,4,4,1,41800,136801
Dell Laptop,Laptop,199938,22,1,0,3,1,0,10500,163201
Canon DSLR,Camera,139782,31,3,4,5,0,3,24900,108201
Canon DSLR,Camera,132983,58,3,1,0,3,2,22600,89760
HP Printer,Printer,121515,25,1,1,0,2,2,15600,106835
Sony PlayStation,Gaming Console,174215,25,1,5,4,0,4,25200,147617
Apple Watch,Wearable,182483,49,5,2,1,4,5,36500,119528
Sony PlayStation,Gaming Console,141147,15,2,4,0,2,0,24000,131269
Microsoft Xbox,Gaming Console,110076,40,1,5,1,1,3,24900,93906
Asus ZenBook,Laptop,156898,18,2,0,3,3,5,25500,130424
Dell Laptop,Laptop,181216,56,5,3,1,4,5,39500,113982
iPhone 13,Phone,192115,35,1,3,3,5,4,42700,145264
HP Printer,Printer,136666,5,0,1,5,2,5,24500,126366
Dell Laptop,Laptop,126496,51,5,2,2,2,1,24800,83870
Xiaomi Tablet,Tablet,84679,40,2,0,4,2,4,21200,64795
Dell Laptop,Laptop,35957,14,1,4,4,5,4,47200,49849
Bose Speaker,Audio,139133,55,1,1,5,3,5,30500,91077
Xiaomi Tablet,Tablet,123831,2,5,0,0,5,4,33200,114426
Dell Laptop,Laptop,3558,50,0,2,2,2,4,22200,13484
HP Printer,Printer,98037,10,4,5,4,4,3,47400,93306
Asus ZenBook,Laptop,32551,54,5,1,2,4,4,34200,33701
GoPro Camera,Camera,133610,54,3,5,3,4,0,42500,92063
Xiaomi Tablet,Tablet,156967,56,2,3,4,1,1,22800,102441
Microsoft Xbox,Gaming Console,167926,30,4,4,1,4,4,40700,132860
Samsung Refrigerator,Appliance,129560,1,5,2,3,4,3,37900,116768
HP Printer,Printer,57274,18,3,5,5,5,1,51300,62878
Philips Air Purifier,Appliance,8231,4,5,4,5,1,3,31900,22206
GoPro Camera,Camera,35066,14,4,3,4,1,3,26400,39500
Samsung TV,TV,25177,22,4,0,3,5,5,37500,35115
HP Printer,Printer,191918,46,3,1,2,4,0,29000,127732
Bose Speaker,Audio,118446,14,2,5,3,2,2,33100,110122
HP Printer,Printer,87465,18,0,5,4,5,2,47600,87649
Lenovo Monitor,Monitor,23507,6,2,2,4,1,3,21400,30211
Asus ZenBook,Laptop,84034,2,3,4,4,1,4,29200,84348
GoPro Camera,Camera,133483,3,4,5,4,2,1,35800,122684
Asus ZenBook,Laptop,4281,9,5,4,1,3,5,37500,22068
Lenovo Monitor,Monitor,88988,12,0,5,2,0,2,19600,89889
Asus ZenBook,Laptop,181315,48,3,1,1,0,2,9100,127844
Samsung Refrigerator,Appliance,88419,20,0,2,1,5,0,32500,85217
MacBook Pro,Laptop,77879,7,1,0,3,2,4,18700,75158
Canon DSLR,Camera,30341,17,2,0,5,0,3,11900,29464
LG Microwave,Appliance,11323,34,3,0,4,2,1,19800,17260
iPhone 13,Phone,43930,2,1,4,5,4,5,44500,56955
Sharp LED,TV,197606,36,5,4,3,3,5,40500,138814
Xiaomi Tablet,Tablet,71737,41,3,5,4,3,5,43000,64184
LG Microwave,Appliance,187483,22,0,1,4,4,4,32200,152963
Apple Watch,Wearable,66751,38,5,2,5,4,5,42500,56628
Apple Watch,Wearable,178519,18,1,5,0,5,1,41800,161930
Xiaomi Tablet,Tablet,41472,34,0,3,2,1,2,18600,41233
Asus ZenBook,Laptop,64643,46,3,0,4,2,1,19800,48039
Sharp LED,TV,84501,54,3,3,3,3,2,33100,63026
Lenovo Monitor,Monitor,50859,41,4,4,5,5,5,52500,52442
Samsung TV,TV,39284,40,1,3,0,3,5,29000,42784
Philips Air Purifier,Appliance,139634,60,0,4,1,4,3,35900,101730
Dell Laptop,Laptop,191954,51,1,1,5,5,3,38900,120226
MacBook Pro,Laptop,150536,51,4,3,4,0,3,21400,98764
GoPro Camera,Camera,111634,9,4,1,1,2,2,20100,101032
Sony PlayStation,Gaming Console,162540,3,1,1,3,2,1,19300,150247
Xiaomi Tablet,Tablet,16955,23,4,5,3,1,3,30900,27742
Samsung TV,TV,59016,22,4,3,1,5,4,42700,62071
Lenovo Monitor,Monitor,96214,37,5,1,0,4,3,30400,76296
Panasonic VCR,Appliance,35133,48,0,5,2,5,2,44600,44082
GoPro Camera,Camera,46900,44,0,4,0,0,2,13600,43382
iPhone 13,Phone,71567,42,3,4,5,0,3,24900,57537
Asus ZenBook,Laptop,118155,60,4,5,1,5,1,46300,82228
Philips Air Purifier,Appliance,128980,32,2,1,5,0,5,16500,98536
Canon DSLR,Camera,134507,57,2,2,5,5,2,42100,84941
Microsoft Xbox,Gaming Console,75158,13,2,5,3,2,0,31500,75501
Sharp LED,TV,62464,57,2,2,1,3,1,25300,49816
MacBook Pro,Laptop,154631,42,0,1,1,0,4,7700,122916
iPhone 13,Phone,140333,8,4,3,1,3,2,31100,127816
Apple Watch,Wearable,48827,12,4,2,2,3,2,29600,51909
Samsung TV,TV,49115,31,0,5,4,2,0,31000,51108
Sony PlayStation,Gaming Console,29233,23,5,1,0,5,1,33800,36925
Panasonic VCR,Appliance,79623,57,5,5,0,4,2,41600,63398
Philips Air Purifier,Appliance,112137,54,5,3,5,5,4,49700,73069
